"","user","scheme","site","event","timeTaken_sec"
"1","ipt401","unknown;N/A","HS-2011-104","testing",0
"422","ipt403","testpasstiles;ImageP","wvacation","testing",61
"423","ipt403","testpasstiles;ImageP","wvacation","testing",61
"424","ipt403","testpasstiles;ImageP","wvacation","testing",66
"425","ipt403","testpasstiles;ImageP","wvacation","testing",66
"426","ipt403","testpasstiles;ImageP","wvacation","testing",66
"427","ipt403","testpasstiles;ImageP","wvacation","testing",69
"428","ipt403","testpasstiles;ImageP","wvacation","testing",84
"429","ipt403","testpasstiles;ImageP","wvacation","testing",85
"430","ipt403","testpasstiles;ImageP","wvacation","testing",106
"431","ipt403","testpasstiles;ImageP","wvacation","testing",120
"432","ipt403","testpasstiles;ImageP","wvacation","testing",133
"433","ipt403","testpasstiles;ImageP","wvacation","testing",133
"434","ipt403","unknown;ImagePasstil","wvacation","Successful Login",135
"435","ipt403","testpasstiles;ImageP","studentlife","Created Password",0
"436","ipt403","testpasstiles;ImageP","studentlife","testing",0
"437","ipt403","testpasstiles;ImageP","studentlife","testing",1
"438","ipt403","testpasstiles;ImageP","studentlife","testing",1
"439","ipt403","testpasstiles;ImageP","studentlife","testing",23
"440","ipt403","testpasstiles;ImageP","studentlife","testing",29
"441","ipt403","testpasstiles;ImageP","studentlife","testing",29
"442","ipt403","testpasstiles;ImageP","studentlife","testing",32
"443","ipt403","testpasstiles;ImageP","studentlife","testing",48
"444","ipt403","testpasstiles;ImageP","studentlife","testing",48
"445","ipt403","testpasstiles;ImageP","studentlife","testing",51
"446","ipt403","testpasstiles;ImageP","studentlife","testing",51
